family,feature,early_observations,late_observations,early_median,late_median,median_shift_in_iqr
ohlcv_history,close_percentile_120s,628,1225,0.3208333333333333,0.5833333333333334,0.38888888888888895
volatility_liquidity_regime,return_autocorrelation_60s,628,1225,-0.01218783889582574,-0.07051804227812307,0.37074868320157844
ohlcv_history,close_percentile_60s,628,1225,0.3583333333333333,0.6,0.34523809523809523
range_atr_and_estimators,range_percentile_120s,628,1225,0.36666666666666664,0.5083333333333333,0.2741935483870968
cross_market_lead_lag,leadlag_correlation_60s,628,1225,0.01844563033029975,-0.02166539199477625,0.23408288020896834
ohlcv_history,close_percentile_20s,628,1225,0.45,0.6,0.23076923076923075
volatility_liquidity_regime,return_autocorrelation_20s,628,1225,-0.023964482157325766,-0.08847747880776768,0.23063115334058226
momentum_reversal,standardized_return_20s,628,1225,-0.12155985103535918,0.16970258979556252,0.22321129825260785
moving_average_structure,price_to_sma_120s,628,1225,-0.009739941337218394,0.0020028825187596855,0.21843486433808473
cross_market_lead_lag,leadlag_correlation_20s,628,1225,0.04814539788922641,-0.01783177615777143,0.19641377946372945
volatility_liquidity_regime,volatility_ratio_20_60s,628,1225,0.9046365972652586,0.9609739447023387,0.1885259816481002
cross_market_lead_lag,leadlag_beta_60s,628,1225,0.009129428820306209,-0.011283367491698075,0.17603678540471465
moving_average_structure,sma_gap_30_120s,628,1225,-0.004993785142135221,0.0022477886111242906,0.1757321502458833
volatility_liquidity_regime,downside_volatility_20s,628,1225,0.003927294874869546,0.0052029190102430645,0.17458993963151784
volatility_liquidity_regime,realized_volatility_5s,628,1225,0.007729323478334523,0.009547142069079428,0.16428965250773842
trend,ema_gap_10_60s,628,1225,-0.0035398661667129794,0.0005615618817642609,0.16187211210587382
volatility_liquidity_regime,realized_volatility_20s,628,1225,0.007952471469524863,0.00985231596918506,0.16058534557115448
momentum_reversal,momentum_120s,628,1225,-0.009824429757369491,0.002927355365534961,0.1592574538404546
trend,trend_efficiency_60s,628,1225,0.11901411012835139,0.0958618636498958,0.1591078392557281
moving_average_structure,price_to_ema_60s,628,1225,-0.004222730448954659,0.0010386141113554181,0.15817457870154392
minute_bar_pace_and_distribution,return_sign_imbalance,628,1225,-0.0015498150550031225,0.00293470286133529,0.1571342976440372
moving_average_structure,price_to_ema_120s,628,1225,-0.006480982526605339,0.0011549834050210706,0.15636423181282985
trend,price_to_sma_60s,628,1225,-0.0047509035499275765,0.0012586406840238151,0.15418037626550754
momentum_reversal,standardized_return_5s,628,1225,-0.15634944138913492,0.07382476194336088,0.15186818819690823
range_atr_and_estimators,garman_klass_volatility_30s,628,1225,0.0080104433007557,0.010402864698169976,0.15113371533580505
range_atr_and_estimators,garman_klass_volatility_20s,628,1225,0.008070979674597138,0.010264645833862737,0.1502118489288335
volatility_liquidity_regime,upside_downside_volatility_ratio_20s,628,1225,1.0297412088934061,0.9501834865701643,0.1492955273352747
trend,trend_slope_60s,628,1225,-0.00016592109544667744,2.8143770621461657e-05,0.14396962430590193
linear_regression_structure,trend_residual_zscore_20s,628,1225,-0.18708317421846543,0.0868177809624411,0.1431487953174237
minute_bar_pace_and_distribution,intraday_return_q10,628,1225,-0.00020643514214837568,-0.0002538955703786705,0.14241880375003213
range_atr_and_estimators,atr_30s_fraction,628,1225,0.01252554961916946,0.01549567727698679,0.1400708398312912
linear_regression_structure,trend_r_squared_120s,628,1225,0.3324694372423558,0.2697213483438369,0.13925023730028208
minute_bar_pace_and_distribution,intraday_return_q75,628,1225,0.00010836144942644177,0.00013136231477917093,0.13840794487143396
range_atr_and_estimators,parkinson_volatility_30s,628,1225,0.008114475914111158,0.01016358385610515,0.13556901296572912
volatility_liquidity_regime,return_volatility_60s,628,1225,0.00844704128995442,0.010662892909408112,0.13368385630376356
range_atr_and_estimators,range_percentile_60s,628,1225,0.4166666666666667,0.48333333333333334,0.1333333333333333
moving_average_structure,price_to_ema_30s,628,1225,-0.0020519270148758317,0.0010574044299691554,0.13281345518000565
moving_average_structure,price_to_sma_30s,628,1225,-0.00202550796113915,0.0014507786636170916,0.13227924078759234
linear_regression_structure,trend_slope_30s,628,1225,-0.00011497429283602464,0.00010881906468964709,0.12738905739766457
range_atr_and_estimators,parkinson_volatility_20s,628,1225,0.008037207806945813,0.00979316874542944,0.12635306362370768
