feature_a,feature_b,correlation,absolute_correlation
log_return_1s,reversal_1s,-1.0,1.0
overnight_gap_fraction,open_to_previous_close,1.0,1.0
parkinson_volatility_30s,garman_klass_volatility_30s,0.9984205916154087,0.9984205916154087
parkinson_volatility_20s,garman_klass_volatility_20s,0.9977297376950435,0.9977297376950435
atr_5s_fraction,parkinson_volatility_5s,0.9943407073079458,0.9943407073079458
range_fraction,true_range_fraction,0.9940502232945717,0.9940502232945717
parkinson_volatility_5s,garman_klass_volatility_5s,0.9937259958003403,0.9937259958003403
zero_return_fraction,positive_return_fraction,-0.9933222784708283,0.9933222784708283
absolute_return_per_observed_minute,intraday_return_q10,-0.9916217139024452,0.9916217139024452
absolute_return_per_observed_minute,intraday_return_q90,0.9912350448518417,0.9912350448518417
atr_5s_fraction,garman_klass_volatility_5s,0.9909626217378484,0.9909626217378484
atr_30s_fraction,parkinson_volatility_30s,0.9896380489441983,0.9896380489441983
atr_30s_fraction,garman_klass_volatility_30s,0.9894988609643153,0.9894988609643153
jump_variation,realized_quarticity,0.9891268870365418,0.9891268870365418
realized_volatility_20s,garman_klass_volatility_20s,0.9887465975430837,0.9887465975430837
realized_volatility_20s,atr_30s_fraction,0.9876386160358233,0.9876386160358233
intraday_return_q10,intraday_return_q90,-0.9869473842255994,0.9869473842255994
realized_volatility_20s,garman_klass_volatility_30s,0.9864018224988123,0.9864018224988123
realized_volatility_20s,parkinson_volatility_20s,0.9859547337335407,0.9859547337335407
return_volatility_20s,parkinson_volatility_20s,0.9849202001713478,0.9849202001713478
garman_klass_volatility_20s,garman_klass_volatility_30s,0.9848576794948322,0.9848576794948322
realized_volatility_20s,parkinson_volatility_30s,0.9840835338531722,0.9840835338531722
intraday_return_q75,intraday_return_iqr,0.9839915703209552,0.9839915703209552
parkinson_volatility_20s,parkinson_volatility_30s,0.9838275358043074,0.9838275358043074
intraday_return_q25,intraday_return_iqr,-0.9837157156312488,0.9837157156312488
realized_volatility_5s,atr_5s_fraction,0.9835109787750035,0.9835109787750035
realized_volatility_5s,garman_klass_volatility_5s,0.9834151639413865,0.9834151639413865
parkinson_volatility_30s,garman_klass_volatility_20s,0.9831142438651856,0.9831142438651856
price_to_sma_60s,price_to_ema_60s,0.9829194636778189,0.9829194636778189
parkinson_volatility_20s,garman_klass_volatility_30s,0.9825534285049226,0.9825534285049226
price_to_sma_30s,price_to_ema_30s,0.9822892638416946,0.9822892638416946
atr_14s_fraction,parkinson_volatility_20s,0.9818420982488707,0.9818420982488707
atr_14s_fraction,garman_klass_volatility_20s,0.9813609048959272,0.9813609048959272
price_to_sma_10s,price_to_ema_10s,0.9805978773115445,0.9805978773115445
realized_volatility_5s,parkinson_volatility_5s,0.9792991132389647,0.9792991132389647
atr_30s_fraction,garman_klass_volatility_20s,0.977420767272822,0.977420767272822
atr_14s_fraction,atr_30s_fraction,0.9765427420854229,0.9765427420854229
realized_volatility_20s,atr_14s_fraction,0.9765413534444904,0.9765413534444904
atr_30s_fraction,parkinson_volatility_20s,0.9763261960842882,0.9763261960842882
price_to_sma_120s,price_to_ema_120s,0.9756655526118618,0.9756655526118618
return_volatility_60s,parkinson_volatility_30s,0.9750184202926648,0.9750184202926648
return_volatility_60s,atr_30s_fraction,0.9748739328773152,0.9748739328773152
return_volatility_20s,garman_klass_volatility_20s,0.974634527540086,0.974634527540086
return_volatility_60s,garman_klass_volatility_30s,0.974557146135309,0.974557146135309
upside_semivariance,bipower_variation,0.9743144978304364,0.9743144978304364
absolute_return_per_observed_minute,realized_volatility,0.9741386295143247,0.9741386295143247
realized_volatility_20s,return_volatility_60s,0.9702095321629503,0.9702095321629503
volume_percentile_60s,volume_quartile_60s,0.9701985487211156,0.9701985487211156
return_volatility_20s,parkinson_volatility_30s,0.9691076158164413,0.9691076158164413
range_percentile_60s,range_quartile_60s,0.9688003919215458,0.9688003919215458
return_volatility_20s,atr_14s_fraction,0.9674833780312753,0.9674833780312753
volume_percentile_60s,volume_percentile_120s,0.967381613838964,0.967381613838964
atr_14s_fraction,parkinson_volatility_30s,0.9667804419269587,0.9667804419269587
atr_14s_fraction,garman_klass_volatility_30s,0.9666541899642942,0.9666541899642942
ema_gap_5_20s,price_to_sma_30s,0.9662777107041005,0.9662777107041005
realized_volatility_20s,return_volatility_20s,0.9651500989357935,0.9651500989357935
realized_volatility_5s,atr_14s_fraction,0.9646378793798772,0.9646378793798772
return_volatility_20s,downside_volatility_20s,0.9630309459241174,0.9630309459241174
return_volatility_20s,garman_klass_volatility_30s,0.9629240228287892,0.9629240228287892
return_volatility_20s,atr_30s_fraction,0.9610955113805104,0.9610955113805104
absolute_return_per_observed_minute,intraday_return_iqr,0.9601443615156074,0.9601443615156074
trend_slope_60s,sma_gap_20_60s,0.9594545847265882,0.9594545847265882
realized_volatility_5s,absolute_return_per_observed_minute,0.9589421654024348,0.9589421654024348
range_percentile_60s,range_percentile_120s,0.9577732234812897,0.9577732234812897
atr_5s_fraction,absolute_return_per_observed_minute,0.9568919731041956,0.9568919731041956
intraday_return_q10,realized_volatility,-0.9561477458429766,0.9561477458429766
return_volatility_60s,garman_klass_volatility_20s,0.9555034470853787,0.9555034470853787
intraday_return_q90,realized_volatility,0.9552050231659142,0.9552050231659142
return_volatility_60s,parkinson_volatility_20s,0.954688561963893,0.954688561963893
price_to_sma_20s,price_to_ema_30s,0.9537685206134026,0.9537685206134026
realized_volatility_5s,intraday_return_q90,0.9535025690845947,0.9535025690845947
intraday_return_q90,intraday_return_iqr,0.9526647156855499,0.9526647156855499
intraday_return_q10,intraday_return_iqr,-0.952630471540019,0.952630471540019
realized_volatility_5s,intraday_return_q10,-0.9518110386095411,0.9518110386095411
price_to_ema_60s,price_to_ema_120s,0.9509266507098156,0.9509266507098156
ema_gap_5_20s,price_to_ema_30s,0.9507300085231404,0.9507300085231404
