feature,family,selected,status,duplicate_of,high_correlation_review,note
log_return_1s,momentum_reversal,True,selected,,True,Retained pending development-only predictive diagnostics.
momentum_2s,momentum_reversal,True,selected,,False,Retained pending development-only predictive diagnostics.
momentum_5s,momentum_reversal,True,selected,,False,Retained pending development-only predictive diagnostics.
momentum_10s,momentum_reversal,True,selected,,False,Retained pending development-only predictive diagnostics.
momentum_20s,momentum_reversal,True,selected,,False,Retained pending development-only predictive diagnostics.
momentum_60s,momentum_reversal,True,selected,,False,Retained pending development-only predictive diagnostics.
momentum_120s,momentum_reversal,True,selected,,False,Retained pending development-only predictive diagnostics.
standardized_return_5s,momentum_reversal,True,selected,,False,Retained pending development-only predictive diagnostics.
standardized_return_20s,momentum_reversal,True,selected,,False,Retained pending development-only predictive diagnostics.
standardized_return_60s,momentum_reversal,True,selected,,False,Retained pending development-only predictive diagnostics.
reversal_1s,momentum_reversal,False,drop_exact_duplicate,log_return_1s,True,Exact algebraic duplicate; retain the named representative.
return_zscore_20s,momentum_reversal,True,selected,,False,Retained pending development-only predictive diagnostics.
price_to_sma_10s,trend,True,selected,,True,Retained pending development-only predictive diagnostics.
price_to_sma_20s,trend,True,selected,,True,Retained pending development-only predictive diagnostics.
price_to_sma_60s,trend,True,selected,,True,Retained pending development-only predictive diagnostics.
ema_gap_5_20s,trend,True,selected,,True,Retained pending development-only predictive diagnostics.
ema_gap_10_60s,trend,True,selected,,False,Retained pending development-only predictive diagnostics.
trend_slope_20s,trend,True,selected,,False,Retained pending development-only predictive diagnostics.
trend_slope_60s,trend,True,selected,,True,Retained pending development-only predictive diagnostics.
trend_efficiency_20s,trend,True,selected,,False,Retained pending development-only predictive diagnostics.
trend_efficiency_60s,trend,True,selected,,False,Retained pending development-only predictive diagnostics.
realized_volatility_5s,volatility_liquidity_regime,True,selected,,True,Retained pending development-only predictive diagnostics.
realized_volatility_20s,volatility_liquidity_regime,True,selected,,True,Retained pending development-only predictive diagnostics.
return_volatility_5s,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
return_volatility_20s,volatility_liquidity_regime,True,selected,,True,Retained pending development-only predictive diagnostics.
return_volatility_60s,volatility_liquidity_regime,True,selected,,True,Retained pending development-only predictive diagnostics.
volatility_ratio_5_20s,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
volatility_ratio_20_60s,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
downside_volatility_20s,volatility_liquidity_regime,True,selected,,True,Retained pending development-only predictive diagnostics.
upside_downside_volatility_ratio_20s,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
drawdown_20s,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
drawdown_60s,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
range_fraction,volatility_liquidity_regime,True,selected,,True,Retained pending development-only predictive diagnostics.
range_zscore_20s,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
close_location,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
log_volume,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
volume_zscore_20s,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
return_autocorrelation_20s,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
return_autocorrelation_60s,volatility_liquidity_regime,True,selected,,False,Retained pending development-only predictive diagnostics.
peer_return_lag1s,cross_market_lead_lag,True,selected,,False,Retained pending development-only predictive diagnostics.
peer_momentum_5s_lag1s,cross_market_lead_lag,True,selected,,False,Retained pending development-only predictive diagnostics.
peer_breadth_lag1s,cross_market_lead_lag,True,selected,,False,Retained pending development-only predictive diagnostics.
leadlag_correlation_20s,cross_market_lead_lag,True,selected,,False,Retained pending development-only predictive diagnostics.
leadlag_correlation_60s,cross_market_lead_lag,True,selected,,False,Retained pending development-only predictive diagnostics.
leadlag_beta_60s,cross_market_lead_lag,True,selected,,False,Retained pending development-only predictive diagnostics.
true_range_fraction,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
atr_5s_fraction,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
atr_14s_fraction,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
atr_30s_fraction,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
