name,symbol,family,lookback_sessions,entry_threshold
daily_0001,6E,session_momentum,1,0.0
daily_0002,6E,session_momentum,1,0.5
daily_0003,6E,session_momentum,1,1.0
daily_0004,6E,session_momentum,1,1.5
daily_0005,6E,session_momentum,2,0.0
daily_0006,6E,session_momentum,2,0.5
daily_0007,6E,session_momentum,2,1.0
daily_0008,6E,session_momentum,2,1.5
daily_0009,6E,session_momentum,3,0.0
daily_0010,6E,session_momentum,3,0.5
daily_0011,6E,session_momentum,3,1.0
daily_0012,6E,session_momentum,3,1.5
daily_0013,6E,session_momentum,5,0.0
daily_0014,6E,session_momentum,5,0.5
daily_0015,6E,session_momentum,5,1.0
daily_0016,6E,session_momentum,5,1.5
daily_0017,6E,session_momentum,10,0.0
daily_0018,6E,session_momentum,10,0.5
daily_0019,6E,session_momentum,10,1.0
daily_0020,6E,session_momentum,10,1.5
daily_0021,6E,session_momentum,20,0.0
daily_0022,6E,session_momentum,20,0.5
daily_0023,6E,session_momentum,20,1.0
daily_0024,6E,session_momentum,20,1.5
daily_0025,6E,session_momentum,40,0.0
daily_0026,6E,session_momentum,40,0.5
daily_0027,6E,session_momentum,40,1.0
daily_0028,6E,session_momentum,40,1.5
daily_0029,6E,session_momentum,60,0.0
daily_0030,6E,session_momentum,60,0.5
daily_0031,6E,session_momentum,60,1.0
daily_0032,6E,session_momentum,60,1.5
daily_0033,6E,session_reversal,1,0.0
daily_0034,6E,session_reversal,1,0.5
daily_0035,6E,session_reversal,1,1.0
daily_0036,6E,session_reversal,1,1.5
daily_0037,6E,session_reversal,2,0.0
daily_0038,6E,session_reversal,2,0.5
daily_0039,6E,session_reversal,2,1.0
daily_0040,6E,session_reversal,2,1.5
daily_0041,6E,session_reversal,3,0.0
daily_0042,6E,session_reversal,3,0.5
daily_0043,6E,session_reversal,3,1.0
daily_0044,6E,session_reversal,3,1.5
daily_0045,6E,session_reversal,5,0.0
daily_0046,6E,session_reversal,5,0.5
daily_0047,6E,session_reversal,5,1.0
daily_0048,6E,session_reversal,5,1.5
daily_0049,6E,session_reversal,10,0.0
daily_0050,6E,session_reversal,10,0.5
daily_0051,6E,session_reversal,10,1.0
daily_0052,6E,session_reversal,10,1.5
daily_0053,6E,session_reversal,20,0.0
daily_0054,6E,session_reversal,20,0.5
daily_0055,6E,session_reversal,20,1.0
daily_0056,6E,session_reversal,20,1.5
daily_0057,6E,session_reversal,40,0.0
daily_0058,6E,session_reversal,40,0.5
daily_0059,6E,session_reversal,40,1.0
daily_0060,6E,session_reversal,40,1.5
daily_0061,6E,session_reversal,60,0.0
daily_0062,6E,session_reversal,60,0.5
daily_0063,6E,session_reversal,60,1.0
daily_0064,6E,session_reversal,60,1.5
daily_0065,6J,session_momentum,1,0.0
daily_0066,6J,session_momentum,1,0.5
daily_0067,6J,session_momentum,1,1.0
daily_0068,6J,session_momentum,1,1.5
daily_0069,6J,session_momentum,2,0.0
daily_0070,6J,session_momentum,2,0.5
daily_0071,6J,session_momentum,2,1.0
daily_0072,6J,session_momentum,2,1.5
daily_0073,6J,session_momentum,3,0.0
daily_0074,6J,session_momentum,3,0.5
daily_0075,6J,session_momentum,3,1.0
daily_0076,6J,session_momentum,3,1.5
daily_0077,6J,session_momentum,5,0.0
daily_0078,6J,session_momentum,5,0.5
daily_0079,6J,session_momentum,5,1.0
daily_0080,6J,session_momentum,5,1.5
daily_0081,6J,session_momentum,10,0.0
daily_0082,6J,session_momentum,10,0.5
daily_0083,6J,session_momentum,10,1.0
daily_0084,6J,session_momentum,10,1.5
daily_0085,6J,session_momentum,20,0.0
daily_0086,6J,session_momentum,20,0.5
daily_0087,6J,session_momentum,20,1.0
daily_0088,6J,session_momentum,20,1.5
daily_0089,6J,session_momentum,40,0.0
daily_0090,6J,session_momentum,40,0.5
daily_0091,6J,session_momentum,40,1.0
daily_0092,6J,session_momentum,40,1.5
daily_0093,6J,session_momentum,60,0.0
daily_0094,6J,session_momentum,60,0.5
daily_0095,6J,session_momentum,60,1.0
daily_0096,6J,session_momentum,60,1.5
daily_0097,6J,session_reversal,1,0.0
daily_0098,6J,session_reversal,1,0.5
daily_0099,6J,session_reversal,1,1.0
daily_0100,6J,session_reversal,1,1.5
daily_0101,6J,session_reversal,2,0.0
daily_0102,6J,session_reversal,2,0.5
daily_0103,6J,session_reversal,2,1.0
daily_0104,6J,session_reversal,2,1.5
daily_0105,6J,session_reversal,3,0.0
daily_0106,6J,session_reversal,3,0.5
daily_0107,6J,session_reversal,3,1.0
daily_0108,6J,session_reversal,3,1.5
daily_0109,6J,session_reversal,5,0.0
daily_0110,6J,session_reversal,5,0.5
daily_0111,6J,session_reversal,5,1.0
daily_0112,6J,session_reversal,5,1.5
daily_0113,6J,session_reversal,10,0.0
daily_0114,6J,session_reversal,10,0.5
daily_0115,6J,session_reversal,10,1.0
daily_0116,6J,session_reversal,10,1.5
daily_0117,6J,session_reversal,20,0.0
daily_0118,6J,session_reversal,20,0.5
daily_0119,6J,session_reversal,20,1.0
daily_0120,6J,session_reversal,20,1.5
daily_0121,6J,session_reversal,40,0.0
daily_0122,6J,session_reversal,40,0.5
daily_0123,6J,session_reversal,40,1.0
daily_0124,6J,session_reversal,40,1.5
daily_0125,6J,session_reversal,60,0.0
daily_0126,6J,session_reversal,60,0.5
daily_0127,6J,session_reversal,60,1.0
daily_0128,6J,session_reversal,60,1.5
daily_0129,CL,session_momentum,1,0.0
daily_0130,CL,session_momentum,1,0.5
daily_0131,CL,session_momentum,1,1.0
daily_0132,CL,session_momentum,1,1.5
daily_0133,CL,session_momentum,2,0.0
daily_0134,CL,session_momentum,2,0.5
daily_0135,CL,session_momentum,2,1.0
daily_0136,CL,session_momentum,2,1.5
daily_0137,CL,session_momentum,3,0.0
daily_0138,CL,session_momentum,3,0.5
daily_0139,CL,session_momentum,3,1.0
daily_0140,CL,session_momentum,3,1.5
daily_0141,CL,session_momentum,5,0.0
daily_0142,CL,session_momentum,5,0.5
daily_0143,CL,session_momentum,5,1.0
daily_0144,CL,session_momentum,5,1.5
daily_0145,CL,session_momentum,10,0.0
daily_0146,CL,session_momentum,10,0.5
daily_0147,CL,session_momentum,10,1.0
daily_0148,CL,session_momentum,10,1.5
daily_0149,CL,session_momentum,20,0.0
daily_0150,CL,session_momentum,20,0.5
daily_0151,CL,session_momentum,20,1.0
daily_0152,CL,session_momentum,20,1.5
daily_0153,CL,session_momentum,40,0.0
daily_0154,CL,session_momentum,40,0.5
daily_0155,CL,session_momentum,40,1.0
daily_0156,CL,session_momentum,40,1.5
daily_0157,CL,session_momentum,60,0.0
daily_0158,CL,session_momentum,60,0.5
daily_0159,CL,session_momentum,60,1.0
daily_0160,CL,session_momentum,60,1.5
daily_0161,CL,session_reversal,1,0.0
daily_0162,CL,session_reversal,1,0.5
daily_0163,CL,session_reversal,1,1.0
daily_0164,CL,session_reversal,1,1.5
daily_0165,CL,session_reversal,2,0.0
daily_0166,CL,session_reversal,2,0.5
daily_0167,CL,session_reversal,2,1.0
daily_0168,CL,session_reversal,2,1.5
daily_0169,CL,session_reversal,3,0.0
daily_0170,CL,session_reversal,3,0.5
daily_0171,CL,session_reversal,3,1.0
daily_0172,CL,session_reversal,3,1.5
daily_0173,CL,session_reversal,5,0.0
daily_0174,CL,session_reversal,5,0.5
daily_0175,CL,session_reversal,5,1.0
daily_0176,CL,session_reversal,5,1.5
daily_0177,CL,session_reversal,10,0.0
daily_0178,CL,session_reversal,10,0.5
daily_0179,CL,session_reversal,10,1.0
daily_0180,CL,session_reversal,10,1.5
daily_0181,CL,session_reversal,20,0.0
daily_0182,CL,session_reversal,20,0.5
daily_0183,CL,session_reversal,20,1.0
daily_0184,CL,session_reversal,20,1.5
daily_0185,CL,session_reversal,40,0.0
daily_0186,CL,session_reversal,40,0.5
daily_0187,CL,session_reversal,40,1.0
daily_0188,CL,session_reversal,40,1.5
daily_0189,CL,session_reversal,60,0.0
daily_0190,CL,session_reversal,60,0.5
daily_0191,CL,session_reversal,60,1.0
daily_0192,CL,session_reversal,60,1.5
daily_0193,ES,session_momentum,1,0.0
daily_0194,ES,session_momentum,1,0.5
daily_0195,ES,session_momentum,1,1.0
daily_0196,ES,session_momentum,1,1.5
daily_0197,ES,session_momentum,2,0.0
daily_0198,ES,session_momentum,2,0.5
daily_0199,ES,session_momentum,2,1.0
daily_0200,ES,session_momentum,2,1.5
daily_0201,ES,session_momentum,3,0.0
daily_0202,ES,session_momentum,3,0.5
daily_0203,ES,session_momentum,3,1.0
daily_0204,ES,session_momentum,3,1.5
daily_0205,ES,session_momentum,5,0.0
daily_0206,ES,session_momentum,5,0.5
daily_0207,ES,session_momentum,5,1.0
daily_0208,ES,session_momentum,5,1.5
daily_0209,ES,session_momentum,10,0.0
daily_0210,ES,session_momentum,10,0.5
daily_0211,ES,session_momentum,10,1.0
daily_0212,ES,session_momentum,10,1.5
daily_0213,ES,session_momentum,20,0.0
daily_0214,ES,session_momentum,20,0.5
daily_0215,ES,session_momentum,20,1.0
daily_0216,ES,session_momentum,20,1.5
daily_0217,ES,session_momentum,40,0.0
daily_0218,ES,session_momentum,40,0.5
daily_0219,ES,session_momentum,40,1.0
daily_0220,ES,session_momentum,40,1.5
daily_0221,ES,session_momentum,60,0.0
daily_0222,ES,session_momentum,60,0.5
daily_0223,ES,session_momentum,60,1.0
daily_0224,ES,session_momentum,60,1.5
daily_0225,ES,session_reversal,1,0.0
daily_0226,ES,session_reversal,1,0.5
daily_0227,ES,session_reversal,1,1.0
daily_0228,ES,session_reversal,1,1.5
daily_0229,ES,session_reversal,2,0.0
daily_0230,ES,session_reversal,2,0.5
daily_0231,ES,session_reversal,2,1.0
daily_0232,ES,session_reversal,2,1.5
daily_0233,ES,session_reversal,3,0.0
daily_0234,ES,session_reversal,3,0.5
daily_0235,ES,session_reversal,3,1.0
daily_0236,ES,session_reversal,3,1.5
daily_0237,ES,session_reversal,5,0.0
daily_0238,ES,session_reversal,5,0.5
daily_0239,ES,session_reversal,5,1.0
daily_0240,ES,session_reversal,5,1.5
