period_end,return,period_type
2025-08-31,-0.0014825383987830953,month
2025-09-30,-0.005487773513125571,month
2025-10-31,0.0032601085099968063,month
2025-11-30,0.012600756462495477,month
2025-12-31,-0.011252811198632862,month
2026-01-31,0.005806630451862693,month
2026-02-28,0.011359851190094528,month
2026-03-31,-0.012709364754078245,month
2026-04-30,-0.007371359918906362,month
2026-05-31,0.0024126786332254735,month
2026-06-30,-0.003541073288604424,month
2026-07-31,-0.02848125785293154,month
2026-08-31,0.007066021615394602,month
2025-09-30,-0.006962176076951487,quarter
2025-12-31,0.004470192024642827,quarter
2026-03-31,0.004304065928059764,quarter
2026-06-30,-0.008499917266006296,quarter
2026-09-30,-0.021616485421159348,quarter
2025-12-31,-0.002523106316281276,year
2026-12-31,-0.02575743058220714,year
