name,timeframe_minutes,training_sessions,residual_threshold,confirmation_bars
h019r1_015m_train20_threshold1p25_confirm1,15,20,1.25,1
h019r1_015m_train20_threshold1p25_confirm2,15,20,1.25,2
h019r1_015m_train20_threshold1p75_confirm1,15,20,1.75,1
h019r1_015m_train20_threshold1p75_confirm2,15,20,1.75,2
h019r1_015m_train20_threshold2p25_confirm1,15,20,2.25,1
h019r1_015m_train20_threshold2p25_confirm2,15,20,2.25,2
h019r1_015m_train40_threshold1p25_confirm1,15,40,1.25,1
h019r1_015m_train40_threshold1p25_confirm2,15,40,1.25,2
h019r1_015m_train40_threshold1p75_confirm1,15,40,1.75,1
h019r1_015m_train40_threshold1p75_confirm2,15,40,1.75,2
h019r1_015m_train40_threshold2p25_confirm1,15,40,2.25,1
h019r1_015m_train40_threshold2p25_confirm2,15,40,2.25,2
h019r1_030m_train20_threshold1p25_confirm1,30,20,1.25,1
h019r1_030m_train20_threshold1p25_confirm2,30,20,1.25,2
h019r1_030m_train20_threshold1p75_confirm1,30,20,1.75,1
h019r1_030m_train20_threshold1p75_confirm2,30,20,1.75,2
h019r1_030m_train20_threshold2p25_confirm1,30,20,2.25,1
h019r1_030m_train20_threshold2p25_confirm2,30,20,2.25,2
h019r1_030m_train40_threshold1p25_confirm1,30,40,1.25,1
h019r1_030m_train40_threshold1p25_confirm2,30,40,1.25,2
h019r1_030m_train40_threshold1p75_confirm1,30,40,1.75,1
h019r1_030m_train40_threshold1p75_confirm2,30,40,1.75,2
h019r1_030m_train40_threshold2p25_confirm1,30,40,2.25,1
h019r1_030m_train40_threshold2p25_confirm2,30,40,2.25,2
h019r1_060m_train20_threshold1p25_confirm1,60,20,1.25,1
h019r1_060m_train20_threshold1p25_confirm2,60,20,1.25,2
h019r1_060m_train20_threshold1p75_confirm1,60,20,1.75,1
h019r1_060m_train20_threshold1p75_confirm2,60,20,1.75,2
h019r1_060m_train20_threshold2p25_confirm1,60,20,2.25,1
h019r1_060m_train20_threshold2p25_confirm2,60,20,2.25,2
h019r1_060m_train40_threshold1p25_confirm1,60,40,1.25,1
h019r1_060m_train40_threshold1p25_confirm2,60,40,1.25,2
h019r1_060m_train40_threshold1p75_confirm1,60,40,1.75,1
h019r1_060m_train40_threshold1p75_confirm2,60,40,1.75,2
h019r1_060m_train40_threshold2p25_confirm1,60,40,2.25,1
h019r1_060m_train40_threshold2p25_confirm2,60,40,2.25,2
h019r1_240m_train20_threshold1p25_confirm1,240,20,1.25,1
h019r1_240m_train20_threshold1p25_confirm2,240,20,1.25,2
h019r1_240m_train20_threshold1p75_confirm1,240,20,1.75,1
h019r1_240m_train20_threshold1p75_confirm2,240,20,1.75,2
h019r1_240m_train20_threshold2p25_confirm1,240,20,2.25,1
h019r1_240m_train20_threshold2p25_confirm2,240,20,2.25,2
h019r1_240m_train40_threshold1p25_confirm1,240,40,1.25,1
h019r1_240m_train40_threshold1p25_confirm2,240,40,1.25,2
h019r1_240m_train40_threshold1p75_confirm1,240,40,1.75,1
h019r1_240m_train40_threshold1p75_confirm2,240,40,1.75,2
h019r1_240m_train40_threshold2p25_confirm1,240,40,2.25,1
h019r1_240m_train40_threshold2p25_confirm2,240,40,2.25,2
