name,timeframe_minutes,training_sessions,ridge_penalty,forecast_threshold
h021_015m_train20_ridge010_threshold0p1,15,20,10.0,0.1
h021_015m_train20_ridge010_threshold0p25,15,20,10.0,0.25
h021_015m_train20_ridge100_threshold0p1,15,20,100.0,0.1
h021_015m_train20_ridge100_threshold0p25,15,20,100.0,0.25
h021_015m_train40_ridge010_threshold0p1,15,40,10.0,0.1
h021_015m_train40_ridge010_threshold0p25,15,40,10.0,0.25
h021_015m_train40_ridge100_threshold0p1,15,40,100.0,0.1
h021_015m_train40_ridge100_threshold0p25,15,40,100.0,0.25
h021_030m_train20_ridge010_threshold0p1,30,20,10.0,0.1
h021_030m_train20_ridge010_threshold0p25,30,20,10.0,0.25
h021_030m_train20_ridge100_threshold0p1,30,20,100.0,0.1
h021_030m_train20_ridge100_threshold0p25,30,20,100.0,0.25
h021_030m_train40_ridge010_threshold0p1,30,40,10.0,0.1
h021_030m_train40_ridge010_threshold0p25,30,40,10.0,0.25
h021_030m_train40_ridge100_threshold0p1,30,40,100.0,0.1
h021_030m_train40_ridge100_threshold0p25,30,40,100.0,0.25
h021_060m_train20_ridge010_threshold0p1,60,20,10.0,0.1
h021_060m_train20_ridge010_threshold0p25,60,20,10.0,0.25
h021_060m_train20_ridge100_threshold0p1,60,20,100.0,0.1
h021_060m_train20_ridge100_threshold0p25,60,20,100.0,0.25
h021_060m_train40_ridge010_threshold0p1,60,40,10.0,0.1
h021_060m_train40_ridge010_threshold0p25,60,40,10.0,0.25
h021_060m_train40_ridge100_threshold0p1,60,40,100.0,0.1
h021_060m_train40_ridge100_threshold0p25,60,40,100.0,0.25
h021_240m_train20_ridge010_threshold0p1,240,20,10.0,0.1
h021_240m_train20_ridge010_threshold0p25,240,20,10.0,0.25
h021_240m_train20_ridge100_threshold0p1,240,20,100.0,0.1
h021_240m_train20_ridge100_threshold0p25,240,20,100.0,0.25
h021_240m_train40_ridge010_threshold0p1,240,40,10.0,0.1
h021_240m_train40_ridge010_threshold0p25,240,40,10.0,0.25
h021_240m_train40_ridge100_threshold0p1,240,40,100.0,0.1
h021_240m_train40_ridge100_threshold0p25,240,40,100.0,0.25
