name,symbol,response_minutes,hold_minutes,response_threshold
h022_CL_15m_response_030m_hold_threshold0p5,CL,15,30,0.5
h022_CL_15m_response_030m_hold_threshold1p0,CL,15,30,1.0
h022_CL_15m_response_060m_hold_threshold0p5,CL,15,60,0.5
h022_CL_15m_response_060m_hold_threshold1p0,CL,15,60,1.0
h022_CL_15m_response_240m_hold_threshold0p5,CL,15,240,0.5
h022_CL_15m_response_240m_hold_threshold1p0,CL,15,240,1.0
h022_CL_30m_response_030m_hold_threshold0p5,CL,30,30,0.5
h022_CL_30m_response_030m_hold_threshold1p0,CL,30,30,1.0
h022_CL_30m_response_060m_hold_threshold0p5,CL,30,60,0.5
h022_CL_30m_response_060m_hold_threshold1p0,CL,30,60,1.0
h022_CL_30m_response_240m_hold_threshold0p5,CL,30,240,0.5
h022_CL_30m_response_240m_hold_threshold1p0,CL,30,240,1.0
h022_NG_15m_response_030m_hold_threshold0p5,NG,15,30,0.5
h022_NG_15m_response_030m_hold_threshold1p0,NG,15,30,1.0
h022_NG_15m_response_060m_hold_threshold0p5,NG,15,60,0.5
h022_NG_15m_response_060m_hold_threshold1p0,NG,15,60,1.0
h022_NG_15m_response_240m_hold_threshold0p5,NG,15,240,0.5
h022_NG_15m_response_240m_hold_threshold1p0,NG,15,240,1.0
h022_NG_30m_response_030m_hold_threshold0p5,NG,30,30,0.5
h022_NG_30m_response_030m_hold_threshold1p0,NG,30,30,1.0
h022_NG_30m_response_060m_hold_threshold0p5,NG,30,60,0.5
h022_NG_30m_response_060m_hold_threshold1p0,NG,30,60,1.0
h022_NG_30m_response_240m_hold_threshold0p5,NG,30,240,0.5
h022_NG_30m_response_240m_hold_threshold1p0,NG,30,240,1.0
