name,correlation_window_sessions,momentum_sessions,entry_threshold,holding_sessions
h024_w40_m05_t1p0_k3,40,5,1.0,3
h024_w40_m05_t1p0_k5,40,5,1.0,5
h024_w40_m05_t1p5_k3,40,5,1.5,3
h024_w40_m05_t1p5_k5,40,5,1.5,5
h024_w40_m10_t1p0_k3,40,10,1.0,3
h024_w40_m10_t1p0_k5,40,10,1.0,5
h024_w40_m10_t1p5_k3,40,10,1.5,3
h024_w40_m10_t1p5_k5,40,10,1.5,5
h024_w60_m05_t1p0_k3,60,5,1.0,3
h024_w60_m05_t1p0_k5,60,5,1.0,5
h024_w60_m05_t1p5_k3,60,5,1.5,3
h024_w60_m05_t1p5_k5,60,5,1.5,5
h024_w60_m10_t1p0_k3,60,10,1.0,3
h024_w60_m10_t1p0_k5,60,10,1.0,5
h024_w60_m10_t1p5_k3,60,10,1.5,3
h024_w60_m10_t1p5_k5,60,10,1.5,5
