period_end,return,period_type
2025-08-31,0.005273892602712049,month
2025-09-30,-0.019635978170386426,month
2025-10-31,0.016991472812728947,month
2025-11-30,-0.014748122455914392,month
2025-12-31,0.058447417783795474,month
2026-01-31,0.07874488835339633,month
2026-02-28,0.05535587450832469,month
2026-03-31,0.15494269781760117,month
2026-04-30,0.020512878205996232,month
2026-05-31,0.006436024521333961,month
2026-06-30,-0.023748649643793973,month
2026-07-31,0.07205999380722172,month
2026-08-31,0.04867297631318701,month
2025-09-30,-0.014465643607694312,quarter
2025-12-31,0.060556647380279216,quarter
2026-03-31,0.3148557808190835,quarter
2026-06-30,0.002689139091848647,quarter
2026-09-30,0.1242403444921163,quarter
2025-12-31,0.0452150128935056,year
2026-12-31,0.48218903881308894,year
