evaluation_fold,hypothesis_id,strategy,symbol,training_score,training_trades,prior_fold_sharpes
2,H002,unique_02604,GC,3.1996771786196363,15,[3.1996771786196363]
2,H002,unique_02789,ZC,2.3319897454493597,54,[2.3319897454493597]
2,H002,unique_00398,ES,2.3037451804390114,48,[2.3037451804390114]
2,H003,unique_02531,CL,2.751875764946757,29,[2.751875764946757]
2,H003,unique_02716,NG,2.4761389715441355,24,[2.4761389715441355]
2,H003,unique_02809,ZC,0.09167151918798597,85,[0.09167151918798597]
2,H004,unique_02488,6J,2.2211725061534504,15,[2.2211725061534504]
2,H004,unique_02584,ES,1.039366852662909,15,[1.039366852662909]
2,H004,unique_01288,NG,0.7549341350915263,12,[0.7549341350915263]
2,H005,unique_02223,HG,2.032336721852468,88,[2.032336721852468]
2,H005,unique_02225,NG,1.6915319996281675,117,[1.6915319996281675]
2,H005,unique_01531,CL,0.5812744338672091,118,[0.5812744338672091]
2,H006,unique_02347,NG,2.5257257535373854,68,[2.5257257535373854]
2,H006,unique_02329,CL,1.1275917593607205,95,[1.1275917593607205]
2,H006,unique_02352,NKD,0.8763091696456545,53,[0.8763091696456545]
2,H002,__FAMILY_WEIGHT__,,0.2739609042600581,0,"{""leverage"": 2.0}"
2,H003,__FAMILY_WEIGHT__,,0.30259652180542895,0,"{""leverage"": 2.0}"
2,H004,__FAMILY_WEIGHT__,,0.20104450643688232,0,"{""leverage"": 2.0}"
2,H005,__FAMILY_WEIGHT__,,0.08735196490842595,0,"{""leverage"": 2.0}"
2,H006,__FAMILY_WEIGHT__,,0.13504610258920483,0,"{""leverage"": 2.0}"
3,H002,unique_02789,ZC,2.2220389537046694,105,"[2.3319897454493597, 2.156068478657856]"
3,H002,unique_01059,CL,1.6043929978791995,14,"[1.3459497034122088, 2.0351318219908507]"
3,H002,unique_01834,ES,1.4620506415784482,46,"[1.3086029166889812, 1.7177968497275604]"
3,H003,unique_02525,CL,2.8300036408401565,55,"[2.4089819061292217, 3.531706532025048]"
3,H003,unique_02723,NG,0.6361546328840131,17,"[0.12480509753059864, 1.4884038584730375]"
3,H004,unique_02582,ES,1.403374031853899,18,"[1.387971165719508, 1.4290454754112176]"
3,H004,unique_02486,6J,1.3663590008031337,17,"[2.303608171264278, 0.804009498526447]"
3,H004,unique_00566,NG,1.2566091831478337,12,"[1.0224554255616691, 1.6468654457914411]"
3,H005,unique_02228,NG,0.8998863311685514,190,"[1.5061229165185275, 0.5361443799585657]"
3,H005,unique_02223,HG,0.8691043299466413,174,"[2.032336721852468, 0.1711648948031453]"
3,H005,unique_02211,CL,0.271271587809343,168,"[0.1932850415933381, 0.4012491648360179]"
3,H006,unique_02371,CL,0.29209284423673176,129,"[0.22061069297872762, 0.4112297630000719]"
3,H006,unique_02388,NG,-0.05819033834215457,119,"[-0.04658582129439594, -0.06515304857080975]"
3,H006,unique_02395,ZC,-0.07068684998529183,127,"[-0.04516817104545691, -0.08599805734919279]"
3,H002,__FAMILY_WEIGHT__,,0.18206744249205928,0,"{""leverage"": 2.0}"
3,H003,__FAMILY_WEIGHT__,,0.3156037181739969,0,"{""leverage"": 2.0}"
3,H004,__FAMILY_WEIGHT__,,0.30685756982929574,0,"{""leverage"": 2.0}"
3,H005,__FAMILY_WEIGHT__,,0.07976738822816105,0,"{""leverage"": 2.0}"
3,H006,__FAMILY_WEIGHT__,,0.11570388127648708,0,"{""leverage"": 2.0}"
4,H002,unique_00627,ZC,1.734440876314353,32,"[1.9075460897925973, 2.016671017383563, 1.4598105535794421]"
4,H002,unique_01882,GC,1.2625878031894688,55,"[1.1350334359496637, 0.48926411973885775, 2.9420129807594115]"
4,H002,unique_01984,NG,1.1817637589274836,32,"[1.3976724838434158, 2.5860247909741196, 0.27062142014485085]"
4,H003,unique_02723,NG,0.7284889324867945,29,"[0.12480509753059864, 1.4884038584730375, 0.9950558276162608]"
4,H004,unique_02636,GC,0.9308756054358027,20,"[0.07198226027243981, 1.4910502812531146, 1.7921420509403607]"
4,H004,unique_02540,CL,0.8673624991836476,23,"[1.1301121572678388, 0.7444256805303845, 0.8496381029306618]"
4,H004,unique_02582,ES,0.6027436718386006,21,"[1.387971165719508, 1.4290454754112176, -0.37728655117691406]"
4,H005,unique_02185,NG,1.1329510930242743,374,"[1.27531051172779, 0.0006435937784652784, 3.0658401062579914]"
4,H005,unique_02211,CL,0.2988067052699479,246,"[0.1932850415933381, 0.4012491648360179, 0.370643555466313]"
4,H006,unique_02291,CL,0.544219709493501,242,"[-0.3103870015306971, 0.842966132794403, 1.7251840629046677]"
4,H002,__FAMILY_WEIGHT__,,0.1869553401716489,0,"{""leverage"": 2.0}"
4,H003,__FAMILY_WEIGHT__,,0.25679951343409574,0,"{""leverage"": 2.0}"
4,H004,__FAMILY_WEIGHT__,,0.3999999999999999,0,"{""leverage"": 2.0}"
4,H005,__FAMILY_WEIGHT__,,0.05954752325421064,0,"{""leverage"": 2.0}"
4,H006,__FAMILY_WEIGHT__,,0.09669762314004476,0,"{""leverage"": 2.0}"
