name,hypothesis_id,symbol,timeframe_minutes,lookback,threshold,direction,leader
unique_00001,H012,6E,1440,1,0.0,1,
unique_00002,H012,6J,1440,1,0.0,1,
unique_00003,H012,CL,1440,1,0.0,1,
unique_00004,H012,ES,1440,1,0.0,1,
unique_00005,H012,GC,1440,1,0.0,1,
unique_00006,H012,HG,1440,1,0.0,1,
unique_00007,H012,NG,1440,1,0.0,1,
unique_00008,H012,NKD,1440,1,0.0,1,
unique_00009,H012,ZC,1440,1,0.0,1,
unique_00010,H012,ZN,1440,1,0.0,1,
unique_00011,H013,6E,1440,3,1.0,-1,
unique_00012,H013,6J,1440,3,1.0,-1,
unique_00013,H013,CL,1440,3,1.0,-1,
unique_00014,H013,ES,1440,3,1.0,-1,
unique_00015,H013,GC,1440,3,1.0,-1,
unique_00016,H013,HG,1440,3,1.0,-1,
unique_00017,H013,NG,1440,3,1.0,-1,
unique_00018,H013,NKD,1440,3,1.0,-1,
unique_00019,H013,ZC,1440,3,1.0,-1,
unique_00020,H013,ZN,1440,3,1.0,-1,
unique_00021,H013,6E,1440,3,1.25,-1,
unique_00022,H013,6J,1440,3,1.25,-1,
unique_00023,H013,CL,1440,3,1.25,-1,
unique_00024,H013,ES,1440,3,1.25,-1,
unique_00025,H013,GC,1440,3,1.25,-1,
unique_00026,H013,HG,1440,3,1.25,-1,
unique_00027,H013,NG,1440,3,1.25,-1,
unique_00028,H013,NKD,1440,3,1.25,-1,
unique_00029,H013,ZC,1440,3,1.25,-1,
unique_00030,H013,ZN,1440,3,1.25,-1,
unique_00031,H013,6E,1440,5,1.0,-1,
unique_00032,H013,6J,1440,5,1.0,-1,
unique_00033,H013,CL,1440,5,1.0,-1,
unique_00034,H013,ES,1440,5,1.0,-1,
unique_00035,H013,GC,1440,5,1.0,-1,
unique_00036,H013,HG,1440,5,1.0,-1,
unique_00037,H013,NG,1440,5,1.0,-1,
unique_00038,H013,NKD,1440,5,1.0,-1,
unique_00039,H013,ZC,1440,5,1.0,-1,
unique_00040,H013,ZN,1440,5,1.0,-1,
unique_00041,H013,6E,1440,5,1.25,-1,
unique_00042,H013,6J,1440,5,1.25,-1,
unique_00043,H013,CL,1440,5,1.25,-1,
unique_00044,H013,ES,1440,5,1.25,-1,
unique_00045,H013,GC,1440,5,1.25,-1,
unique_00046,H013,HG,1440,5,1.25,-1,
unique_00047,H013,NG,1440,5,1.25,-1,
unique_00048,H013,NKD,1440,5,1.25,-1,
unique_00049,H013,ZC,1440,5,1.25,-1,
unique_00050,H013,ZN,1440,5,1.25,-1,
unique_00051,H016,6E,15,1,0.2,-1,
unique_00052,H016,6J,15,1,0.2,-1,
unique_00053,H016,CL,15,1,0.2,-1,
unique_00054,H016,ES,15,1,0.2,-1,
unique_00055,H016,GC,15,1,0.2,-1,
unique_00056,H016,HG,15,1,0.2,-1,
unique_00057,H016,NG,15,1,0.2,-1,
unique_00058,H016,NKD,15,1,0.2,-1,
unique_00059,H016,ZC,15,1,0.2,-1,
unique_00060,H016,ZN,15,1,0.2,-1,
unique_00061,H016,6E,15,1,0.4,-1,
unique_00062,H016,6J,15,1,0.4,-1,
unique_00063,H016,CL,15,1,0.4,-1,
unique_00064,H016,ES,15,1,0.4,-1,
unique_00065,H016,GC,15,1,0.4,-1,
unique_00066,H016,HG,15,1,0.4,-1,
unique_00067,H016,NG,15,1,0.4,-1,
unique_00068,H016,NKD,15,1,0.4,-1,
unique_00069,H016,ZC,15,1,0.4,-1,
unique_00070,H016,ZN,15,1,0.4,-1,
unique_00071,H016,6E,15,3,0.2,-1,
unique_00072,H016,6J,15,3,0.2,-1,
unique_00073,H016,CL,15,3,0.2,-1,
unique_00074,H016,ES,15,3,0.2,-1,
unique_00075,H016,GC,15,3,0.2,-1,
unique_00076,H016,HG,15,3,0.2,-1,
unique_00077,H016,NG,15,3,0.2,-1,
unique_00078,H016,NKD,15,3,0.2,-1,
unique_00079,H016,ZC,15,3,0.2,-1,
unique_00080,H016,ZN,15,3,0.2,-1,
unique_00081,H016,6E,15,3,0.4,-1,
unique_00082,H016,6J,15,3,0.4,-1,
unique_00083,H016,CL,15,3,0.4,-1,
unique_00084,H016,ES,15,3,0.4,-1,
unique_00085,H016,GC,15,3,0.4,-1,
unique_00086,H016,HG,15,3,0.4,-1,
unique_00087,H016,NG,15,3,0.4,-1,
unique_00088,H016,NKD,15,3,0.4,-1,
unique_00089,H016,ZC,15,3,0.4,-1,
unique_00090,H016,ZN,15,3,0.4,-1,
unique_00091,H016,6E,15,5,0.2,-1,
unique_00092,H016,6J,15,5,0.2,-1,
unique_00093,H016,CL,15,5,0.2,-1,
unique_00094,H016,ES,15,5,0.2,-1,
unique_00095,H016,GC,15,5,0.2,-1,
unique_00096,H016,HG,15,5,0.2,-1,
unique_00097,H016,NG,15,5,0.2,-1,
unique_00098,H016,NKD,15,5,0.2,-1,
unique_00099,H016,ZC,15,5,0.2,-1,
unique_00100,H016,ZN,15,5,0.2,-1,
unique_00101,H016,6E,15,5,0.4,-1,
unique_00102,H016,6J,15,5,0.4,-1,
unique_00103,H016,CL,15,5,0.4,-1,
unique_00104,H016,ES,15,5,0.4,-1,
unique_00105,H016,GC,15,5,0.4,-1,
unique_00106,H016,HG,15,5,0.4,-1,
unique_00107,H016,NG,15,5,0.4,-1,
unique_00108,H016,NKD,15,5,0.4,-1,
unique_00109,H016,ZC,15,5,0.4,-1,
unique_00110,H016,ZN,15,5,0.4,-1,
unique_00111,H014,6E,15,80,0.0,-1,
unique_00112,H014,6E,15,80,0.5,-1,
unique_00113,H014,6E,15,80,1.0,-1,
